Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,0.83
10,2.01,0.79
20,1.35,0.77
40,2.2,0.73
80,2.55,0.68
160,2.73,0.63
320,3.07,0.57
640,3.49,0.51
1280,3.81,0.44
2560,3.85,0.37
640,-0.97,0.39
160,-1.54,0.42
40,-2.18,0.46
10,-2.53,0.5
