Effective_Vertical_Stress,Axial_Strain,Void_Ratio
0,0,1.03
10,2.97,0.97
20,1.56,0.94
40,2.51,0.88
80,2.94,0.82
160,3.12,0.76
320,3.65,0.69
640,4.21,0.6
1280,4.66,0.51
640,-0.54,0.52
320,-0.81,0.54
0,0,0.54
0,0,0.54
0,0,0.54
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
